partida_id,rodada,clube,atleta,minuto,tipo_de_gol,minuto_numerico
4632,3,Internacional,Charles Aránguiz,45+1,,46
4632,3,Sport,Patric Cabral Lalau,78,,78
4632,3,Internacional,Andrés D'Alessandro,13,,13
4635,3,Corinthians,Paolo Guerrero,78,,78
4636,3,Goiás,David França Oliveira e Silva,69,,69
4638,4,Palmeiras,Lucimar da Silva Ferreira,16,,16
4638,4,Palmeiras,Henrique Dourado,32,,32
4637,4,Internacional,Alan Patrick,67,,67
4637,4,Athletico Paranaense,Marcos Guilherme,52,,52
4637,4,Internacional,Andrés D'Alessandro,54,,54
4639,4,Botafogo,Emerson Sheik,23,,23
4639,4,Botafogo,Daniel Corrêa Freitas,73,,73
4639,4,Botafogo,Emerson Sheik,52,,52
4639,4,Botafogo,Wallyson,81,,81
4639,4,Botafogo,Daniel Corrêa Freitas,55,,55
4639,4,Botafogo,Daniel Corrêa Freitas,57,,57
4642,4,Cruzeiro,Marcelo Moreno,37,,37
4642,4,Atlético Mineiro,André Felipe Ribeiro de Souza,71,Penalty,71
4642,4,Atlético Mineiro,Marion Silva Fernandes,55,,55
4640,4,Grêmio,Hernán Barcos,65,,65
4640,4,Chapecoense,Tiago Luís Martins,90+2,,92
4640,4,Grêmio,Hernán Barcos,30,,30
4641,4,Fluminense,Fred,11,,11
4641,4,Fluminense,Francisco Souza dos Santos,87,,87
4643,4,São Paulo,Luís Fabiano,81,,81
4643,4,Corinthians,Fagner,49,,49
4644,4,Santos,Arouca,62,,62
4644,4,Santos,Gabriel Barbosa,44,,44
4645,4,Sport,Rithely,86,,86
4646,4,Bahia,Pará,90+1,,91
4646,4,Vitória,Souza,39,,39
4647,5,Goiás,Ramón Rodrigo de Freitas,54,,54
4647,5,Goiás,Danilo Lopes Cezario,70,,70
4648,5,Cruzeiro,Borges,69,,69
4648,5,Coritiba,Alexsandro de Souza,23,,23
4648,5,Cruzeiro,Ricardo Goulart,11,,11
4648,5,Coritiba,Norberto Pereira Marinho Neto,55,,55
4648,5,Cruzeiro,Ricardo Goulart,45+1,,46
4651,5,São Paulo,Paulo Henrique Ganso,23,,23
4651,5,São Paulo,Paulo Henrique Ganso,90+1,,91
4649,5,Grêmio,Rodrigo Eduardo Costa Marinho,37,,37
4650,5,Figueirense,Giovanni Augusto,48,,48
4652,5,Chapecoense,Tiago Luís Martins,88,,88
4652,5,Athletico Paranaense,Cleberson Martins de Souza,71,,71
4653,5,Palmeiras,Marquinhos,49,,49
4655,5,Atlético Mineiro,André Felipe Ribeiro de Souza,81,,81
4655,5,Santos,Cícero Santos,38,,38
4655,5,Atlético Mineiro,André Felipe Ribeiro de Souza,75,,75
4658,6,Bahia,Anderson Talisca,90+2,,92
4658,6,Flamengo,Paulinho,11,,11
4657,6,Coritiba,Alexsandro de Souza,75,Penalty,75
4657,6,Internacional,Wellington Paulista,21,,21
4659,6,Cruzeiro,Ricardo Goulart,51,,51
4659,6,Cruzeiro,Marcelo Moreno,77,,77
4660,6,Criciúma,Silvinho,23,,23
4662,6,São Paulo,Rogério Ceni,26,Penalty,26
4662,6,Fluminense,Rafael Sóbis,76,,76
4662,6,Fluminense,Walter Henrique da Silva,42,,42
4662,6,São Paulo,Alexandre Pato,45,,45
4662,6,Fluminense,Walter Henrique da Silva,66,,66
4662,6,Fluminense,Lucas Cavalcante Silva Afonso,53,Gol Contra,53
4662,6,Fluminense,Wagner Ferreira dos Santos,73,,73
4663,6,Botafogo,Pablo Zeballos,6,,6
4663,6,Grêmio,Rodrigo Eduardo Costa Marinho,44,,44
4663,6,Grêmio,Maximiliano Rodríguez Maeso,81,,81
4661,6,Athletico Paranaense,Douglas Coutinho,85,,85
4661,6,Corinthians,Jadson,59,Penalty,59
4665,6,Santos,Geuvânio,9,,9
4665,6,Santos,Cícero Santos,39,Penalty,39
4665,6,Goiás,Alex Alves Cardoso,26,,26
4665,6,Goiás,Erik Nascimento de Lima,69,,69
4664,6,Palmeiras,Henrique Dourado,37,,37
4666,6,Atlético Mineiro,Rafael Berger,17,Gol Contra,17
4666,6,Atlético Mineiro,Réver,62,,62
4666,6,Vitória,Telmário de Araújo Sacramento,65,,65
4666,6,Vitória,Willie Hortêncio Barbosa,90,,90
4666,6,Atlético Mineiro,Jesús Dátolo,12,,12
4667,7,Fluminense,Kenedy,4,,4
4668,7,São Paulo,Lucas Cavalcante Silva Afonso,61,,61
4671,7,Sport,Augusto,28,,28
4671,7,Corinthians,Romarinho,20,,20
4671,7,Corinthians,Jadson,55,Penalty,55
4671,7,Corinthians,Romarinho,68,,68
4671,7,Corinthians,Jadson,38,,38
4672,7,Athletico Paranaense,Marcos Guilherme,56,,56
4672,7,Athletico Paranaense,Luccas Claro,58,Gol Contra,58
4670,7,Goiás,Jackson de Souza,5,,5
4673,7,Cruzeiro,Marcelo Moreno,88,,88
4673,7,Internacional,Wellington Aparecido Martins,39,,39
4673,7,Cruzeiro,Ricardo Goulart,43,,43
4673,7,Cruzeiro,Willian Gomes de Siqueira,70,,70
4674,7,Botafogo,Emerson Sheik,43,,43
4674,7,Vitória,Telmário de Araújo Sacramento,69,,69
4675,7,Chapecoense,Derivaldo Beserra Cavalcante,47,,47
4675,7,Chapecoense,Tiago Luís Martins,42,,42
4677,8,Criciúma,Fábio Ferreira,58,,58
4678,8,Botafogo,Mario Bolatti,61,,61
4678,8,Botafogo,Pablo Zeballos,90+4,,94
4680,8,Internacional,Wellington Paulista,25,,25
4680,8,Internacional,Wellington Paulista,79,,79
4682,8,Corinthians,Paolo Guerrero,68,,68
4684,8,Atlético Mineiro,Jesús Dátolo,53,,53
4684,8,Atlético Mineiro,Diego Tardelli,65,,65
4683,8,Athletico Paranaense,Cléverson Gabriel Córdova,90,,90
4683,8,São Paulo,Luís Fabiano,90+2,,92
4683,8,São Paulo,Rogério Ceni,76,Penalty,76
4683,8,Athletico Paranaense,Renato Baruffi,30,,30
4685,8,Flamengo,Alecsandro,20,,20
4685,8,Figueirense,Everaldo Stum,22,,22
4686,8,Santos,Alan Santos da Silva,62,,62
4686,8,Santos,Lucas Rafael Araújo Lima,89,,89
4687,9,Coritiba,Alexsandro de Souza,5,,5
4687,9,Coritiba,Keirrison,15,,15
4687,9,Coritiba,Dener Assunção Braz,44,,44
4688,9,São Paulo,Dorlan Pabón,90,,90
4688,9,Atlético Mineiro,Josué Anunciado de Oliveira,79,,79
4688,9,São Paulo,Luís Fabiano,11,,11
4689,9,Sport,Neto Baiano,48,,48
4691,9,Chapecoense,José Carlos Tofolo Júnior,71,,71
4691,9,Bahia,Demerson Bruno Costa,86,,86
4691,9,Chapecoense,Abuda,54,,54
4692,9,Cruzeiro,Borges,45+1,,46
4692,9,Cruzeiro,Ricardo Goulart,16,,16
4692,9,Cruzeiro,Éverton Ribeiro,18,,18
4694,9,Santos,Diego Cardoso,18,,18
4694,9,Santos,Gabriel Barbosa,11,,11
4693,9,Fluminense,Jean Raphael Vanderlei Moreira,31,,31
4693,9,Internacional,Jorge Henrique,22,,22
4695,9,Athletico Paranaense,Douglas Coutinho,90+3,,93
4695,9,Figueirense,Everaldo Stum,74,,74
4695,9,Athletico Paranaense,Douglas Coutinho,45+2,,47
4695,9,Athletico Paranaense,Douglas Coutinho,53,,53
4697,28,Corinthians,Jadson,25,,25
4697,28,Botafogo,Edílson Mendes Guimarães,87,,87
4656,5,Sport,Mike dos Santos Nenatarvicius,73,,73
4709,10,Sport,Neto Baiano,44,,44
4708,10,Figueirense,Everaldo Stum,69,,69
4708,10,Figueirense,Thiago Heleno,5,,5
4712,10,Athletico Paranaense,Douglas Coutinho,20,,20
4712,10,Athletico Paranaense,Cleberson Martins de Souza,61,,61
4712,10,Flamengo,Samir,35,,35
4711,10,São Paulo,Alan Kardec,20,,20
4711,10,São Paulo,Rogério Ceni,13,Penalty,13
4710,10,Fluminense,Darío Conca,84,,84
4710,10,Fluminense,Matheus Carvalho,85,,85
4710,10,Criciúma,Paulo Baier,40,Penalty,40
4710,10,Criciúma,Paulo Baier,59,,59
4710,10,Criciúma,Sérgio Antônio Borges Júnior,67,,67
4714,10,Santos,Bruno Uvini,24,,24
4714,10,Santos,Alison Lopes Ferreira,69,,69
4713,10,Internacional,Cláudio Winck,90+1,,91
4713,10,Corinthians,Paolo Guerrero,7,,7
4713,10,Corinthians,Fagner,10,,10
4715,10,Cruzeiro,Rafael Berger,62,Gol Contra,62
4715,10,Cruzeiro,Éverton Ribeiro,76,,76
4715,10,Vitória,Ayrton Ganino,90+2,,92
4715,10,Cruzeiro,Ricardo Goulart,72,,72
4717,11,Chapecoense,Ricardo Conceição,57,,57
4718,11,Grêmio,Giuliano Victor de Paula,4,,4
4719,11,Atlético Mineiro,Luan Madson Gedeão de Paiva,66,,66
4719,11,Bahia,Cristian Chagas Tarouco,25,,25
4720,11,Botafogo,Mario Bolatti,12,,12
4722,11,Palmeiras,Fernando Tobio,54,,54
4722,11,Cruzeiro,Ricardo Goulart,8,,8
4722,11,Cruzeiro,Manoel Messias Silva Carvalho,10,,10
4721,11,Internacional,Andrés D'Alessandro,45+3,Penalty,48
4721,11,Internacional,Rafael Moura,16,,16
4721,11,Internacional,Fabrício dos Santos Silva,58,,58
4721,11,Internacional,Alex Raphael Meschini,78,,78
4724,11,Athletico Paranaense,Douglas Coutinho,59,,59
4724,11,Athletico Paranaense,Marcelo Cirino da Silva,53,,53
4725,11,Fluminense,Darío Conca,62,,62
4728,12,Cruzeiro,Dagoberto Pelentier,79,,79
4728,12,Cruzeiro,Lucas Silva Borges,41,Penalty,41
4728,12,Cruzeiro,Marcos Antônio da Silva Gonçalves,47,,47
4728,12,Cruzeiro,Dedé,50,,50
4728,12,Cruzeiro,Ricardo Goulart,72,,72
4727,12,Santos,Diego Cardoso,80,,80
4727,12,Santos,Rildo de Andrade Felicissimo,13,,13
4727,12,Santos,Gabriel Barbosa,52,,52
4729,12,Vitória,Ayrton Ganino,84,,84
4729,12,Criciúma,Sérgio Antônio Borges Júnior,90,,90
4729,12,Vitória,Caio Canedo Corrêa,19,,19
4729,12,Vitória,Caio Canedo Corrêa,67,,67
4730,12,Internacional,Wellington do Nascimento Silva,66,,66
4734,12,Sport,Felipe Azevedo,51,,51
4734,12,Sport,Durval,69,,69
4734,12,Atlético Mineiro,Diego Tardelli,85,Penalty,85
4731,12,São Paulo,Kaká,76,,76
4731,12,Goiás,Willian José de Souza,44,,44
4731,12,Goiás,Bruno Mineiro,49,,49
4733,12,Corinthians,Petros,90+1,,91
4733,12,Corinthians,Paolo Guerrero,51,,51
4732,12,Fluminense,Jean Raphael Vanderlei Moreira,18,,18
4732,12,Fluminense,Darío Conca,35,Penalty,35
4732,12,Fluminense,Cícero Santos,65,,65
4736,12,Grêmio,Hernán Barcos,57,,57
4736,12,Coritiba,Alexsandro de Souza,90+4,,94
4736,12,Grêmio,Hernán Barcos,65,,65
4736,12,Coritiba,Zé Love,49,,49
4736,12,Coritiba,Zé Love,73,,73
4735,12,Flamengo,Alecsandro,33,,33
4737,13,Botafogo,Edílson Mendes Guimarães,25,,25
4737,13,Cruzeiro,Leonardo Renan Simões de Lacerda,60,,60
4738,13,Criciúma,Rodrigo Souza,80,,80
4738,13,São Paulo,Alan Kardec,74,,74
4739,13,Vitória,Caio Canedo Corrêa,59,,59
4739,13,Vitória,Caio Canedo Corrêa,77,,77
4739,13,Grêmio,Hernán Barcos,11,,11
4740,13,Palmeiras,Henrique Dourado,61,,61
4740,13,Bahia,Kieza,63,,63
4741,13,Chapecoense,Rafael Lima,7,,7
4743,13,Figueirense,Clayton da Silveira da Silva,76,,76
4743,13,Figueirense,Marco Antônio Miranda Filho,84,,84
4743,13,Figueirense,Léo Lisboa,42,,42
4745,13,Fluminense,David França Oliveira e Silva,20,Gol Contra,20
4745,13,Fluminense,Cícero Santos,10,,10
4744,13,Internacional,Rafael Moura,57,,57
4746,13,Atlético Mineiro,Leonardo Silva,34,,34
4746,13,Athletico Paranaense,Marcos Guilherme,56,,56
4746,13,Atlético Mineiro,Léo Pereira,76,Gol Contra,76
4746,13,Atlético Mineiro,Deivid Willian da Silva,87,Gol Contra,87
4716,10,Chapecoense,Jailton,42,,42
4716,10,Atlético Mineiro,Leonardo Silva,90+3,,93
4748,14,Bahia,Fahel,31,,31
4749,14,Coritiba,Germano Borovicz Cardoso Schweger,82,,82
4749,14,Fluminense,Elivélton,25,,25
4750,14,Flamengo,Eduardo da Silva,85,,85
4752,14,Athletico Paranaense,Douglas Coutinho,90+3,,93
4752,14,Athletico Paranaense,Cléverson Gabriel Córdova,45+1,,46
4751,14,Corinthians,Carlos Gilberto do Nascimento Silva,84,,84
4753,14,Internacional,Charles Aránguiz,62,,62
4753,14,Internacional,Cláudio Winck,85,,85
4754,14,Atlético Mineiro,Jesús Dátolo,87,,87
4754,14,Palmeiras,Henrique Dourado,54,,54
4754,14,Atlético Mineiro,Diego Tardelli,44,,44
4755,14,Figueirense,Marcos Roberto da Silva Barbosa,87,,87
4756,14,São Paulo,Alexandre Pato,39,,39
4756,14,São Paulo,Alan Kardec,32,,32
4756,14,Vitória,Kadu,45+2,,47
4756,14,São Paulo,Alexandre Pato,17,,17
4757,15,Internacional,Pedro Henrique Pereira da Silva,77,Gol Contra,77
4758,15,Bahia,Kieza,36,,36
4758,15,Corinthians,Carlos Gilberto do Nascimento Silva,43,,43
4761,15,Grêmio,Lucas Coelho,49,,49
4761,15,Grêmio,Luan Guilherme de Jesus Vieira,11,Penalty,11
4759,15,Flamengo,Éverton Cardoso da Silva,17,,17
4762,15,Cruzeiro,Marcelo Moreno,25,,25
4762,15,Cruzeiro,Ricardo Goulart,48,,48
4762,15,Cruzeiro,Júlio Baptista,88,,88
4760,15,Palmeiras,Henrique Dourado,60,Penalty,60
4760,15,São Paulo,Alexandre Pato,53,,53
4760,15,São Paulo,Alan Kardec,89,,89
4764,15,Botafogo,Daniel Corrêa Freitas,65,,65
4764,15,Botafogo,Pablo Zeballos,68,,68
4766,15,Figueirense,Clayton da Silveira da Silva,90+1,,91
4766,15,Figueirense,Leonardo Silva,25,Gol Contra,25
4766,15,Atlético Mineiro,Jesús Dátolo,8,,8
4766,15,Atlético Mineiro,Diego Tardelli,74,Penalty,74
4765,15,Sport,Régis,40,,40
4765,15,Athletico Paranaense,Cleberson Martins de Souza,25,,25
4767,16,Sport,Fábio Szymonek,23,Gol Contra,23
4767,16,Sport,Patric Cabral Lalau,33,,33
4767,16,Palmeiras,Henrique Dourado,14,,14
4768,16,Figueirense,Clayton da Silveira da Silva,2,,2
4769,16,Santos,Leandro Damião,45,,45
4769,16,Santos,Thiago Ribeiro,67,,67
4770,16,Coritiba,Keirrison,63,Penalty,63
4770,16,Coritiba,Luiz Eduardo Figueiredo,18,,18
4772,16,Chapecoense,Camilo,60,,60
4773,16,Flamengo,Léo Moura,65,Penalty,65
4773,16,Flamengo,Eduardo da Silva,71,,71
4773,16,Atlético Mineiro,Maicosuel,10,,10
4774,16,São Paulo,Paulo Henrique Ganso,36,,36
4775,16,Corinthians,Paolo Guerrero,22,,22
4775,16,Corinthians,Luciano da Rocha Neves,89,,89
4775,16,Corinthians,Elias Mendes Trindade,65,,65
4775,16,Goiás,Thiago Henrique Mendes Ribeiro,11,,11
4775,16,Corinthians,Luciano da Rocha Neves,78,,78
4775,16,Goiás,Jackson de Souza,60,,60
4775,16,Corinthians,Luciano da Rocha Neves,85,,85
4776,16,Cruzeiro,Dagoberto Pelentier,86,,86
4777,17,Atlético Mineiro,Diego Tardelli,82,,82
4778,17,Botafogo,Luis Ramírez,31,,31
4779,17,Palmeiras,Juninho,14,,14
4780,17,Grêmio,Hernán Barcos,49,,49
4780,17,Corinthians,Paolo Guerrero,62,,62
4780,17,Grêmio,Hernán Barcos,46,,46
4781,17,Flamengo,Lucas Mugni,78,Penalty,78
4781,17,Flamengo,Eduardo da Silva,82,,82
4782,17,Figueirense,Everaldo Stum,75,,75
4783,17,São Paulo,Paulo Henrique Ganso,24,,24
4783,17,São Paulo,Alexandre Pato,88,,88
4783,17,Santos,Gabriel Barbosa,86,Penalty,86
4784,17,Fluminense,Fred,80,,80
4784,17,Fluminense,Darío Conca,50,,50
4784,17,Fluminense,Cícero Santos,35,,35
4784,17,Fluminense,Fred,43,,43
4785,17,Cruzeiro,Marcelo Moreno,25,,25
4788,18,Cruzeiro,Leonardo Renan Simões de Lacerda,50,,50
4788,18,Chapecoense,Zezinho,11,,11
4788,18,Cruzeiro,Marcelo Moreno,52,,52
4788,18,Chapecoense,Bruno Rangel,70,,70
4788,18,Cruzeiro,Marcelo Moreno,71,,71
4788,18,Cruzeiro,Alisson Euler de Freitas Castro,58,,58
4787,18,Internacional,Jorge Henrique,20,,20
4791,18,Sport,Danilo Barcelos,52,,52
4791,18,Sport,Neto Baiano,50,,50
4793,18,Botafogo,Daniel Corrêa Freitas,63,,63
4789,18,Corinthians,Romarinho,74,,74
4789,18,Fluminense,Fred,43,Penalty,43
4792,18,São Paulo,Rogério Ceni,76,Penalty,76
4792,18,Figueirense,Giovanni Augusto,48,,48
4794,18,Grêmio,Hernán Barcos,59,,59
4795,18,Goiás,Erik Nascimento de Lima,39,,39
4795,18,Goiás,Erik Nascimento de Lima,43,,43
4795,18,Goiás,Erik Nascimento de Lima,84,,84
4795,18,Athletico Paranaense,Cléverson Gabriel Córdova,63,,63
4796,18,Vitória,Caio Canedo Corrêa,40,,40
4796,18,Flamengo,Alecsandro,71,Penalty,71
4796,18,Flamengo,Marcelo Augusto Mathias da Silva,33,,33
4798,19,Grêmio,Luan Guilherme de Jesus Vieira,90+1,,91
4797,19,Santos,Leandro Damião,74,,74
4797,19,Vitória,Telmário de Araújo Sacramento,65,,65
4797,19,Santos,David Braz,47,,47
4797,19,Santos,David Braz,52,,52
4802,19,Atlético Mineiro,Leonardo Silva,70,,70
4800,19,São Paulo,Rithely,7,Gol Contra,7
4800,19,São Paulo,Alexandre Pato,26,,26
4803,19,Cruzeiro,Júlio Baptista,44,,44
4803,19,Fluminense,Wagner Ferreira dos Santos,17,,17
4803,19,Cruzeiro,Marcelo Moreno,58,,58
4803,19,Cruzeiro,Júlio Baptista,14,Penalty,14
4803,19,Fluminense,Cícero Santos,23,,23
4803,19,Fluminense,Kenedy,88,,88
4805,19,Athletico Paranaense,Guilherme Augusto Dellatorre,29,,29
4805,19,Palmeiras,Henrique Dourado,53,Penalty,53
4806,19,Internacional,Andrés D'Alessandro,18,Penalty,18
4806,19,Figueirense,Everaldo Stum,51,,51
4806,19,Figueirense,Marco Antônio Miranda Filho,75,,75
4806,19,Figueirense,Giovanni Augusto,76,,76
4806,19,Internacional,Paulo Marcos de Jesus Ribeiro,35,,35
4807,20,Grêmio,Hernán Barcos,90+2,,92
4808,20,Palmeiras,Jonatan Cristaldo,82,,82
4809,20,Figueirense,Everaldo Stum,39,,39
4809,20,Fluminense,Cícero Santos,85,,85
4810,20,Sport,Patric Cabral Lalau,53,,53
4810,20,Sport,Patric Cabral Lalau,90+1,,91
4810,20,Santos,Thiago Ribeiro,25,,25
4810,20,Sport,Patric Cabral Lalau,41,,41
4811,20,Coritiba,Alejandro Martinuccio,14,,14
4811,20,Coritiba,Joel Tagueu,76,,76
4811,20,Coritiba,Róbson Michael Signorini,1,,1
4812,20,Goiás,Samuel,70,,70
4813,20,Botafogo,André Bahia,23,,23
4813,20,São Paulo,Alexandre Pato,81,,81
4813,20,São Paulo,Alan Kardec,8,,8
4813,20,São Paulo,Josef de Souza Dias,37,,37
4813,20,Botafogo,Pablo Zeballos,20,,20
4813,20,São Paulo,Josef de Souza Dias,42,,42
4814,20,Vitória,Richarlyson,8,,8
4814,20,Vitória,Márcio José Oliveira,56,,56
4815,20,Corinthians,Petros,14,,14
4816,20,Cruzeiro,Ricardo Goulart,71,,71
4816,20,Cruzeiro,Éverton Ribeiro,54,Penalty,54
4816,20,Bahia,Rafael Miranda,30,,30
4817,21,Fluminense,Fred,35,Penalty,35
4817,21,Fluminense,Fred,7,,7
4817,21,Fluminense,Darío Conca,63,,63
4818,21,Chapecoense,Douglas Grolli,42,,42
4818,21,Chapecoense,Douglas Grolli,87,,87
4818,21,Chapecoense,Tiago Luís Martins,46,,46
4818,21,Sport,Felipe Azevedo,83,Penalty,83
4819,21,Santos,Robinho,39,,39
4819,21,Coritiba,Luiz Eduardo Figueiredo,88,,88
4819,21,Santos,Lucas Rafael Araújo Lima,13,,13
4820,21,Bahia,Maxi Biancucchi,84,,84
4820,21,Bahia,Kieza,18,,18
4820,21,Bahia,Kieza,25,,25
4822,21,Flamengo,Wallace Reis da Silva,65,,65
4821,21,Internacional,Alex Raphael Meschini,41,,41
4821,21,Internacional,Eduardo Sasha,59,,59
4823,21,São Paulo,Rogério Ceni,36,Penalty,36
4823,21,São Paulo,Alan Kardec,71,,71
4824,21,Athletico Paranaense,Marcelo Cirino da Silva,30,,30
4824,21,Athletico Paranaense,Hernani Azevedo Junior,70,,70
4826,21,Criciúma,Luís Felipe Dias do Nascimento,63,,63
4827,22,Vitória,Telmário de Araújo Sacramento,67,,67
4827,22,Vitória,William Henrique,71,,71
4827,22,Vitória,Vinícius Santos Silva,76,,76
4827,22,Fluminense,Cícero Santos,19,,19
4828,22,Cruzeiro,Alisson Euler de Freitas Castro,27,,27
4828,22,Cruzeiro,Marcelo Moreno,55,,55
4830,22,Figueirense,Thiago Heleno,63,,63
4830,22,Criciúma,Silvinho,45+1,,46
4831,22,Bahia,Dankler,31,Gol Contra,31
4831,22,Botafogo,Emerson Sheik,29,,29
4831,22,Botafogo,Emerson Sheik,43,Penalty,43
4831,22,Bahia,Maxi Biancucchi,73,,73
4831,22,Bahia,Wellington Clayton Gonçalves dos Santos,90,,90
4833,22,Coritiba,Joel Tagueu,63,,63
4833,22,Coritiba,Joel Tagueu,86,,86
4833,22,São Paulo,Michel Bastos,45+1,,46
4833,22,Coritiba,Hélder,60,,60
4832,22,Palmeiras,Victor Luis,69,,69
4832,22,Flamengo,Héctor Canteros,13,,13
4832,22,Flamengo,Alecsandro,32,,32
4832,22,Palmeiras,Diogo Luís Santo,48,,48
4834,22,Chapecoense,Wéverton Almeida Santos,50,Gol Contra,50
4834,22,Corinthians,Malcom Filipe Silva de Oliveira,10,,10
4835,22,Goiás,Erik Nascimento de Lima,79,,79
4835,22,Atlético Mineiro,Carlos Júnior,45,,45
4835,22,Goiás,Jackson de Souza,90+3,,93
4835,22,Atlético Mineiro,Guilherme Milhomem Gusmão,18,,18
4835,22,Atlético Mineiro,Guilherme Milhomem Gusmão,42,,42
4837,23,Internacional,Rafael Moura,81,,81
4838,23,Criciúma,Paulo Baier,68,Penalty,68
4838,23,Botafogo,Pablo Zeballos,37,Penalty,37
4839,23,Atlético Mineiro,Carlos Júnior,39,,39
4839,23,Atlético Mineiro,Carlos Júnior,90+1,,91
4839,23,Atlético Mineiro,Diego Tardelli,41,,41
4839,23,Cruzeiro,Ricardo Goulart,45+2,,47
4839,23,Cruzeiro,Alisson Euler de Freitas Castro,52,,52
4843,23,Vitória,Kadu,9,,9
4843,23,Vitória,Luiz Gustavo,53,,53
4843,23,Bahia,Kieza,6,,6
4840,23,Fluminense,Fred,45,,45
4840,23,Flamengo,Eduardo da Silva,27,,27
4842,23,Corinthians,Fábio Santos,36,Penalty,36
4842,23,São Paulo,Édson José da Silva,45,,45
4842,23,Corinthians,Fábio Santos,66,Penalty,66
4842,23,Corinthians,Paolo Guerrero,74,,74
4842,23,São Paulo,Josef de Souza Dias,6,,6
4841,23,Sport,Felipe Azevedo,75,,75
4845,23,Goiás,Esquerdinha,12,,12
4845,23,Goiás,Welinton Júnior,90,,90
4845,23,Goiás,Erik Nascimento de Lima,27,,27
4845,23,Goiás,David França Oliveira e Silva,37,,37
4845,23,Goiás,Ramón Rodrigo de Freitas,7,,7
4845,23,Goiás,Thiago Henrique Mendes Ribeiro,49,,49
4846,23,Grêmio,Eduardo Pereira Rodrigues,8,,8
4844,23,Santos,Leandro Damião,41,,41
4844,23,Santos,Robinho,57,,57
4844,23,Figueirense,Giovanni Augusto,45+3,Penalty,48
4844,23,Santos,Lucas Rafael Araújo Lima,89,,89
4847,24,Internacional,Andrés D'Alessandro,52,,52
4847,24,Internacional,Charles Aránguiz,39,,39
4847,24,Internacional,Eduardo Sasha,48,,48
4848,24,Coritiba,Alejandro Martinuccio,62,,62
4848,24,Cruzeiro,Éverton Ribeiro,39,,39
4848,24,Cruzeiro,Marcelo Moreno,8,Penalty,8
